4383,3479,8842,6191
4425,3589,8929,6295
4588,3639,9046,6382
4557,3735,8912,6183
4547,3667,9098,6156
4551,3485,9024,6099
4713,3426,9132,6287
4485,3449,8954,6215
4547,3456,9034,6098
4739,3473,8947,5942
4695,3437,9114,6086
4687,3360,9211,6138
4637,3387,9054,6159
4602,3450,9061,6077
4630,3570,9350,6011
4736,3185,9386,5856
4733,3136,9372,5959
4762,3257,9342,5826
4786,3292,9314,5872
4759,3288,9283,5725
4773,3149,9406,5740
4688,3198,9448,5838
4662,3212,9399,5870
4752,3163,9222,5723
4657,3338,9347,5765
4878,3174,9376,5778
4755,3124,9194,5804
4774,3020,9372,5916
4656,3181,9302,5851
4709,3139,9439,5610
4810,3296,9453,5812
4823,3133,9414,5850
4643,3087,9440,5871
4623,3085,9285,5701
4776,3127,9376,5655
4750,3096,9464,5806
4710,3092,9468,5717
4641,3177,9456,5699
4668,3167,9355,5729
4684,3051,9417,5608
4653,3091,9345,5714
4846,2979,9453,5771
4694,3081,9497,5837
4732,3186,9472,5671
4782,3121,9457,5754
4703,3084,9379,5802
4876,3009,9452,5730
4840,3183,9479,5769
4735,3069,9323,5691
4691,3147,9332,5616
